Sequence #,Freq (MHz),Modulation,BW (Hz),SF,Coding Rate,ADR,Time,Chan,RSSI (dBm),SNR (dB)
4036,867.1,LoRa,125,SF9,4/5,on,2015-07-06 13:04:26,0,-122,-7.5
4034,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:04:24,3,-122,-4.5
4020,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:04:12,0,-122,-5.2
4008,867.5,LoRa,125,SF9,4/5,on,2015-07-06 13:04:01,0,-122,-4.8
3964,867.5,LoRa,125,SF11,4/5,on,2015-07-06 13:03:21,0,-122,-12.8
3956,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:03:13,0,-122,-10
3938,869.4,LoRa,125,SF9,4/5,on,2015-07-06 13:02:57,3,-124,-1.8
3916,867.1,LoRa,125,SF10,4/5,on,2015-07-06 13:02:38,0,-120,-7.5
3900,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:02:23,0,-122,-11.8
3754,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:00:11,3,-121,-11
3750,867.9,LoRa,125,SF8,4/5,on,2015-07-06 13:00:07,3,-122,-7
3740,867.1,LoRa,125,SF11,4/5,on,2015-07-06 12:59:59,0,-122,-8
3698,867.9,LoRa,125,SF11,4/5,on,2015-07-06 12:59:21,3,-124,-10.5
3670,867.9,LoRa,125,SF11,4/5,on,2015-07-06 12:58:56,3,-122,-8.5
3664,867.1,LoRa,125,SF10,4/5,on,2015-07-06 12:58:50,0,-122,-10.2
3658,867.9,LoRa,125,SF9,4/5,on,2015-07-06 12:58:44,3,-122,-7.8
3634,868.75,LoRa,125,SF12,4/5,on,2015-07-06 12:58:23,3,-121,-8.2
3628,867.1,LoRa,125,SF11,4/5,on,2015-07-06 12:58:18,0,-124,-11.2
3620,867.1,LoRa,125,SF12,4/5,on,2015-07-06 12:58:10,0,-122,-12.5
3600,867.1,LoRa,125,SF11,4/5,on,2015-07-06 12:57:52,0,-124,-7.2
3592,867.1,LoRa,125,SF12,4/5,on,2015-07-06 12:57:45,0,-121,-6
3578,867.9,LoRa,125,SF12,4/5,on,2015-07-06 12:57:32,3,-121,-6
3544,867.1,LoRa,125,SF11,4/5,on,2015-07-06 12:57:02,0,-122,-8
3534,867.1,LoRa,125,SF7,4/5,on,2015-07-06 12:56:52,3,-122,-7.2
3516,867.5,LoRa,125,SF11,4/5,on,2015-07-06 12:56:37,0,-121,-8.8
3506,867.1,LoRa,125,SF7,4/5,on,2015-07-06 12:56:26,3,-122,-5.8
3474,867.25,LoRa,125,SF11,4/5,on,2015-07-06 12:55:59,3,-124,-13
3364,867.1,LoRa,125,SF9,4/5,on,2015-07-06 12:54:19,0,-122,-8.8
3362,867.9,LoRa,125,SF11,4/5,on,2015-07-06 12:54:18,3,-122,-5.5
3320,867.1,LoRa,125,SF11,4/5,on,2015-07-06 12:53:40,0,-122,-12.8
3292,867.1,LoRa,125,SF11,4/5,on,2015-07-06 12:53:14,0,-124,-7.5
3272,868.75,LoRa,125,SF10,4/5,on,2015-07-06 12:52:56,0,-122,-9.8
3252,867.1,LoRa,125,SF9,4/5,on,2015-07-06 12:52:38,0,-122,-11.2
3250,867.9,LoRa,125,SF11,4/5,on,2015-07-06 12:52:36,3,-119,-11
3242,867.1,LoRa,125,SF12,4/5,on,2015-07-06 12:52:29,3,-121,-12.5
3222,869.25,LoRa,125,SF11,4/5,on,2015-07-06 12:52:11,3,-124,-15.5
3186,867.9,LoRa,125,SF12,4/5,on,2015-07-06 12:51:38,3,-122,-14
3159,867.9,LoRa,125,SF11,4/5,on,2015-07-06 12:51:14,1,-122,-17
3130,867.9,LoRa,125,SF12,4/5,on,2015-07-06 12:50:48,3,-122,-12.5
3116,867.1,LoRa,125,SF12,4/5,on,2015-07-06 12:50:35,0,-124,-16.5
3076,867.5,LoRa,125,SF10,4/5,on,2015-07-06 12:49:59,0,-121,-10.5
3070,867.9,LoRa,125,SF9,4/5,on,2015-07-06 12:49:54,3,-124,-9.8
3062,867.9,LoRa,125,SF10,4/5,on,2015-07-06 12:49:47,3,-122,-7.5
3060,867.1,LoRa,125,SF12,4/5,on,2015-07-06 12:49:45,0,-122,-8.2
3054,867.9,LoRa,125,SF11,4/5,on,2015-07-06 12:49:39,3,-124,-9
3048,867.9,LoRa,125,SF10,4/5,on,2015-07-06 12:49:34,0,-122,-9.5
3040,867.1,LoRa,125,SF11,4/5,on,2015-07-06 12:49:27,0,-121,-5.8
3032,867.1,LoRa,125,SF12,4/5,on,2015-07-06 12:49:19,0,-122,-1.2
3028,867.1,LoRa,125,SF9,4/5,on,2015-07-06 12:49:16,0,-120,-4.5
3022,867.9,LoRa,125,SF8,4/5,on,2015-07-06 12:49:10,3,-122,-7
3018,867.9,LoRa,125,SF12,4/5,on,2015-07-06 12:49:07,3,-124,-15
2998,867.9,LoRa,125,SF11,4/5,on,2015-07-06 12:48:49,3,-124,-13.5
2984,867.1,LoRa,125,SF11,4/5,on,2015-07-06 12:48:36,0,-122,-6
2972,867.1,LoRa,125,SF9,4/5,on,2015-07-06 12:48:25,0,-122,-9.5
2944,867.25,LoRa,125,SF9,4/5,on,2015-07-06 12:48:00,0,-121,-9.5
2934,867.9,LoRa,125,SF12,4/5,on,2015-07-06 12:47:51,3,-122,-14.8
2914,867.5,LoRa,125,SF11,4/5,on,2015-07-06 12:47:33,3,-122,-6.2
2900,868.6,LoRa,125,SF11,4/5,on,2015-07-06 12:47:20,0,-122,-12.5
2894,867.1,LoRa,125,SF10,4/5,on,2015-07-06 12:47:15,3,-122,-8.2
2872,867.25,LoRa,125,SF11,4/5,on,2015-07-06 12:46:55,0,-122,-8.2
2860,867.1,LoRa,125,SF9,4/5,on,2015-07-06 12:46:44,0,-122,-7.5
2836,867.1,LoRa,125,SF12,4/5,on,2015-07-06 12:46:22,0,-122,-11.8
2824,867.5,LoRa,125,SF10,4/5,on,2015-07-06 12:46:12,0,-121,-6.2
2816,867.1,LoRa,125,SF11,4/5,on,2015-07-06 12:46:05,0,-121,-7.2
2812,867.1,LoRa,125,SF8,4/5,on,2015-07-06 12:46:00,0,-121,-6.2
2804,867.75,LoRa,125,SF9,4/5,on,2015-07-06 12:45:53,0,-122,-7.8
2776,867.5,LoRa,125,SF9,4/5,on,2015-07-06 12:45:28,0,-122,-10.5
2762,867.25,LoRa,125,SF9,4/5,on,2015-07-06 12:45:16,3,-121,-4.8
2746,867.5,LoRa,125,SF11,4/5,on,2015-07-06 12:45:01,3,-122,-3.2
2738,867.9,LoRa,125,SF12,4/5,on,2015-07-06 12:44:54,3,-121,-3
2732,867.1,LoRa,125,SF11,4/5,on,2015-07-06 12:44:49,0,-122,-9
2728,867.25,LoRa,125,SF8,4/5,on,2015-07-06 12:44:44,0,-122,-9.8
