Sequence #,Freq (MHz),Modulation,BW (Hz),SF,Coding Rate,ADR,Time,Chan,RSSI (dBm),SNR (dB)
1259,867.3,LoRa,125,SF7,4/5,on,2015-07-08 09:05:43,4,-104,8
1258,867.7,LoRa,125,SF8,4/5,on,2015-07-08 09:05:42,6,-104,9
1257,868.3,LoRa,125,SF9,4/5,on,2015-07-08 09:05:42,1,-110,4.8
1255,867.3,LoRa,125,SF11,4/5,on,2015-07-08 09:05:40,4,-114,10
1254,867.9,LoRa,125,SF12,4/5,on,2015-07-08 09:05:39,7,-101,10.2
1253,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:05:37,8,-104,6.8
1252,868.5,LoRa,125,SF7,4/5,on,2015-07-08 09:05:37,2,-109,7
1250,867.7,LoRa,125,SF9,4/5,on,2015-07-08 09:05:36,6,-116,11.5
1248,868.5,LoRa,125,SF11,4/5,on,2015-07-08 09:05:34,2,-98,8.5
1247,867.5,LoRa,125,SF12,4/5,on,2015-07-08 09:05:33,5,-100,8
1246,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:05:31,8,-102,7.2
1245,868.1,LoRa,125,SF7,4/5,on,2015-07-08 09:05:30,0,-101,9
1243,867.3,LoRa,125,SF9,4/5,on,2015-07-08 09:05:29,4,-112,11.2
1241,868.1,LoRa,125,SF11,4/5,on,2015-07-08 09:05:28,0,-110,9.8
1240,868.5,LoRa,125,SF12,4/5,on,2015-07-08 09:05:26,2,-101,1.2
1239,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:05:24,8,-101,7.5
1237,868.1,LoRa,125,SF8,4/5,on,2015-07-08 09:05:23,0,-108,10.8
1236,868.5,LoRa,125,SF9,4/5,on,2015-07-08 09:05:23,2,-108,7.2
