Port,Time,Sequence #,Data
2,2015-07-08 09:01:04,950,0026bb0bfc03f23f404318041a0400db
2,2015-07-08 09:01:02,947,0026bb0bfc03eb42404318041a0400db
2,2015-07-08 09:00:56,940,0026bb0bfc03f740404318041a0400db
2,2015-07-08 09:00:51,934,0026bc0bfc03ed3f404318041a0400db
2,2015-07-08 09:00:50,933,0026bb0bfc03f742404318041a0400db
2,2015-07-08 09:00:45,928,0026bb0bfc03f243404318041a0400db
2,2015-07-08 09:00:43,926,0026ba0bf603ee40404318041a0400db
2,2015-07-08 09:00:42,925,0026bc0bfc03ec41404318041a0400db
2,2015-07-08 09:00:40,923,0026bd0bfc03f33f404318041a0400db
2,2015-07-08 09:00:39,922,0026bb0bfc03fa41404318041a0400db
2,2015-07-08 09:00:33,916,0026bb0bfc03f53f404318041a0400db
2,2015-07-08 09:00:33,915,0026bb0bf603f53f404318041a0400db
2,2015-07-08 09:00:32,914,0026ba0bf603f943404318041a0500db
2,2015-07-08 09:00:31,912,0026bb0bf603f640404318041a0500db
2,2015-07-08 09:00:30,911,0026bb0bfc03f440404318041a0500db
2,2015-07-08 09:00:25,905,0026ba0bf603f741404318041a0500db
2,2015-07-08 09:00:23,904,0026bc0bfc03f341404318041a0400da
2,2015-07-08 09:00:21,902,0026bb0bfc03f73f404318041a0400da
2,2015-07-08 09:00:18,898,0026ba0bf603fa40404318041a0400da
2,2015-07-08 09:00:17,897,0026bc0bfc03f23e404318041a0400da
2,2015-07-08 09:00:14,894,0026bb0bf603f641404318041a0400da
2,2015-07-08 09:00:13,892,0026bb0bf603f5404043200419ef00da
2,2015-07-08 09:00:08,888,0026bb0bf603ee404043200419ef00da
2,2015-07-08 09:00:08,887,0026bb0bf003ee3e4043200419ef00da
2,2015-07-08 09:00:06,884,0026bb0bf603f4414043200419ef00da
2,2015-07-08 09:00:04,883,0026bc0bf603f8424043200419ef00da
2,2015-07-08 08:59:58,876,0026bb0bf603f04240433b0419c300d8
2,2015-07-08 08:59:55,874,0026ba0bf603fb3e40433b0419c300d8
2,2015-07-08 08:59:53,870,0026b90bf003fa4040435904198000d7
2,2015-07-08 08:59:45,862,0026bb0bf603fe3e40435904198000d7
2,2015-07-08 08:59:40,856,0026b90bf004064040437604193100d7
2,2015-07-08 08:59:39,855,0026ba0bf604014240437604193100d7
2,2015-07-08 08:59:34,849,0026b80bf004043f40437604193100d7
2,2015-07-08 08:59:33,848,0026ba0bf00401424043960418df00d7
2,2015-07-08 08:59:20,834,0026bb0bf003ff414043b00418a300d6
2,2015-07-08 08:59:07,820,0026bb0bea03ee404043b304189b00d6
2,2015-07-08 08:59:04,817,0026ba0bea03f7424043b304189b00d6
2,2015-07-08 08:59:04,816,0026ba0bea03f8414043b304189b00d6
2,2015-07-08 08:59:02,814,0026ba0be303f8414043b604189600d7
2,2015-07-08 08:58:58,809,0026ba0be303f4424043b604189600d7
2,2015-07-08 08:58:57,808,0026bb0be303f5424043b604189600d7
2,2015-07-08 08:58:55,806,0026bb0bea03f4414043b604189600d7
2,2015-07-08 08:58:43,793,0026bb0be303ff414043d604183b00d5
2,2015-07-08 08:58:42,792,0026bc0bea03f6424043d604183b00d5
2,2015-07-08 08:58:37,786,0026bb0be303fe404043d604183b00d5
